userID,Monster_Number,First Rnd to Game Result Duration,Community Board Freq Clicks Array,CB Clicks A,CB Clicks B,CB Clicks C,CB Clicks D,CB Clicks E,RndA Duration,RndB Duration,RndC Duration,RndD Duration,RndE Duration,Init Choice,Init Reason,Community Choice,Community Reason,Init Choice,Init Reason,Community Choice,Community Reason,Init Choice,Init Reason,Community Choice,Community Reason,Init Choice,Init Reason,Community Choice,Community Reason,Init Choice,Init Reason,Community Choice,Community Reason,Rnd1 Answer Change,Rnd2 Answer Change,Rnd3 Answer Change,Rnd4 Answer Change,Rnd5 Answer Change
ID-0820-091737PMIST-21745893,3,,"[2, 2, 1, 4, 4]",2,2,1,4,4,0:00:27,0:00:46,0:00:51,0:00:47,0:00:45,3,"""It is good among all other""",3,"""It is good among all other""",2,"""It is healthy, so I selected this""",2,"""It is healthy, so I selected this""",1,"""healthy""",1,"""healthy""",4,"""It is good food""",3,"""It is good food""",1,"""It has more carbohydrates""",2,"""It has more carbohydrates""",1,1,0,0,1
ID-0815-012503amGMT+05:30-415784591,1,,"[7, 2, 2, 1, 1]",7,2,2,1,1,0:00:35,0:00:19,0:00:15,0:00:24,0:00:16,3,"""nice""",1,"""nice""",1,"""nice food""",1,"""nice food""",1,"""this very tasty""",4,"""this very tasty""",3,"""taste""",4,"""taste""",2,"""nice""",3,"""nice""",0,0,0,1,0
ID-0820-094820AMCDT-334550354,3,,"[3, 2, 2, 2, 2]",3,2,2,2,2,0:00:37,0:00:51,0:00:46,0:00:36,0:00:46,2,"""good carbs i think""",1,"""good carbs i think""",1,"""rice is a good carb""",1,"""rice is a good carb""",4,"""need energy for the race""",4,"""need energy for the race""",3,"""protein and carb is good""",2,"""protein and carb is good""",1,"""pasta up for a race""",1,"""pasta up for a race""",1,1,0,1,0
ID-0815-051623amGMT+06:00-215486292,1,,"[9, 6, 3, 2, 1]",9,6,3,2,1,0:01:30,0:00:26,0:00:28,0:00:24,0:00:17,2,"""healthy """,2,"""healthy """,3,"""love""",3,"""love""",3,"""great""",1,"""great""",3,"""good """,2,"""good """,4,"""good""",2,"""good""",0,1,0,1,0
ID-0815-034704AMIST-61251033,4,,"[5, 2, 2, 2, 2]",5,2,2,2,2,0:00:20,0:00:30,0:00:34,0:00:19,0:00:12,2,"""meals""",2,"""meals""",3,"""nice fruits""",3,"""nice fruits""",1,"""yes""",1,"""yes""",1,"""yes""",1,"""yes""",3,"""better""",1,"""better""",1,1,0,1,1
ID-0822-015231AMGMT+05:30-293961243,1,,"[1, 1, 2, 2, 2]",1,1,2,2,2,0:00:33,0:00:11,0:00:12,0:00:18,0:00:26,1,"""this is leat amount of carbs""",1,"""this is leat amount of carbs""",1,"""this is leat amount of carbs""",1,"""this is leat amount of carbs""",3,"""yes""",4,"""yes""",1,"""this is leat amount of carbs""",3,"""this is leat amount of carbs""",2,"""this is leat amount of carbs""",4,"""this is leat amount of carbs""",0,0,0,1,1
ID-0815-021453AMGMT+05:30-327919719,1,,"[9, 3, 4, 10, 1]",9,3,4,10,1,0:00:40,0:01:50,0:00:45,0:01:11,0:00:26,1,"""nice""",1,"""nice""",4,"""This is very spicy and loved it""",4,"""This is very spicy and loved it""",4,"""nice breakfast""",3,"""nice breakfast""",4,"""amazing test""",2,"""amazing test""",4,"""this is very loveable""",1,"""this is very loveable""",1,0,0,0,1
ID-0820-103441pmGMT+05:30-107565429,3,,"[2, 7, 5, 4, 2]",2,7,5,4,2,0:01:26,0:02:39,0:03:11,0:07:04,0:03:01,1,"""pizza is also rich in carbohydrate """,1,"""pizza is also rich in carbohydrate """,1,"""because beans and rice are rich in carbs so I chose this one """,1,"""because beans and rice are rich in carbs so I chose this one """,3,"""cashew is richer in carbs""",3,"""cashew is richer in carbs""",1,"""cereal and banana is rich in carbohydrates """,1,"""cereal and banana is rich in carbohydrates """,3,"""beans and the spinach is rich in carb""",3,"""beans and the spinach is rich in carb""",1,1,1,1,1
ID-0822-010948AMGMT+05:30-880630879,1,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:02:30,0:03:43,0:01:20,0:01:01,0:03:09,2,"""An a apple as a lowest amount of carbs""",4,"""An a apple as a lowest amount of carbs""",4,"""this is the least amount of carbs""",4,"""this is the least amount of carbs""",2,"""more least carbs are added this meal""",2,"""more least carbs are added this meal""",3,"""this meal is the least amount of carbs""",4,"""this meal is the least amount of carbs""",2,"""the chicken is least amount of carbs, so yhis meal is least amount of carbs""",2,"""the chicken is least amount of carbs, so yhis meal is least amount of carbs""",0,1,1,1,0
ID-0820-061851PMEST-858229596,1,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:01:06,0:01:29,0:01:58,0:01:26,0:02:02,1,"""low glycemic carbs good protein. """,1,"""low glycemic carbs good protein. """,1,"""lowest carbs good protein nutrient profile. """,1,"""lowest carbs good protein nutrient profile. """,2,"""low carbs with good combo of nutrients.  low glycemic. """,1,"""low carbs with good combo of nutrients.  low glycemic. """,1,"""low glycemic carbs and good protein. """,1,"""low glycemic carbs and good protein. """,1,"""about 17 grams of low carbs and good protein and nutrients. """,1,"""about 17 grams of low carbs and good protein and nutrients. """,1,1,1,1,0
ID-0815-054219amGMT+06:00-832756172,2,,"[1, 3, 2, 2, 2]",1,3,2,2,2,0:00:16,0:00:20,0:00:24,0:00:19,0:00:12,3,"""love""",3,"""love""",3,"""best""",3,"""best""",4,"""Health """,4,"""Health """,1,"""great""",2,"""great""",1,"""lovely """,1,"""lovely """,1,1,0,1,1
ID-0814-054953amIST-176672552,3,,"[4, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3]",4,2,1,1,2,0:10:27,0:00:59,"-1 day, 23:55:31",0:00:30,0:00:32,4,"""good""",1,"""good""",1,"""good""",1,"""good""",1,"""fruit""",1,"""fruit""",1,"""calories is hign""",1,"""calories is hign""",1,"""good""",1,"""good""",1,0,1,1,0
ID-0815-021205AMIST-931241271,1,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:00:18,0:00:37,0:00:51,0:00:21,0:00:32,1,"""cashewnut has best protein and low carbs""",1,"""cashewnut has best protein and low carbs""",1,"""veggies""",1,"""veggies""",1,"""carrot""",1,"""carrot""",2,"""veggies""",2,"""veggies""",1,"""broccoli""",1,"""broccoli""",1,1,1,1,1
ID-0815-070701AMGMT+05:30-263685148,3,,"[2, 1, 2, 2, 2]",2,1,2,2,2,0:00:14,0:00:54,0:00:39,0:00:34,0:00:21,3,"""tasty""",3,"""tasty""",2,"""healthy""",2,"""healthy""",1,"""healthy""",1,"""healthy""",4,"""tasty""",2,"""tasty""",3,"""nothing""",2,"""nothing""",1,0,1,1,0
ID-0814-040354AMIST-272867495,4,,"[2, 1, 2, 2, 1]",2,1,2,2,1,0:00:26,0:00:31,0:00:29,0:00:28,0:00:22,1,"""good""",1,"""good""",3,"""good for health""",3,"""good for health""",1,"""good""",1,"""good""",1,"""healthy food""",1,"""healthy food""",2,"""high protine""",2,"""high protine""",1,1,1,1,1
ID-0813-105633PMCDT-380564685,3,,"[4, 2, 2, 2, 2]",4,2,2,2,2,0:00:25,0:00:33,0:00:53,0:00:31,0:00:28,1,"""Pizza has a lot of carbs""",1,"""Pizza has a lot of carbs""",3,"""Pizza is loaded with carbs""",3,"""Pizza is loaded with carbs""",3,"""I believe nuts have a lot of carbs in them.""",3,"""I believe nuts have a lot of carbs in them.""",2,"""I believe it offers the most carbs out of all the choices because of the milk as well as the sandwich.""",2,"""I believe it offers the most carbs out of all the choices because of the milk as well as the sandwich.""",1,"""Noodles have lots of carbs""",1,"""Noodles have lots of carbs""",1,1,1,1,1
ID-0814-124630AMGMT+05:30-123157715,1,,"[4, 2, 4, 2, 2]",4,2,4,2,2,0:03:16,0:02:14,0:02:29,0:02:40,0:02:55,2,"""least amount""",4,"""least amount""",1,"""decrease amount""",1,"""decrease amount""",4,"""decrease amount""",4,"""decrease amount""",2,"""decrease amount""",2,"""decrease amount""",3,"""50""",3,"""50""",1,1,0,1,1
ID-0813-103159PMIST-287169533,1,,"[3, 2, 2, 2, 1]",3,2,2,2,1,0:00:19,0:00:26,0:00:41,0:00:23,0:00:21,4,"""Healthy""",2,"""Healthy""",2,"""Healthy""",2,"""Healthy""",4,"""Healthy""",1,"""Healthy""",2,"""Helatny""",2,"""Helatny""",2,"""Healthy """,2,"""Healthy """,0,1,1,1,0
ID-0813-113637PMIST-95106231,1,,"[2, 2, 2, 3, 2]",2,2,2,3,2,0:00:37,0:00:44,0:00:37,0:00:32,0:00:18,1,"""least carbs""",1,"""least carbs""",1,"""least amount of carbs""",1,"""least amount of carbs""",2,"""least carbs""",1,"""least carbs""",1,"""least carbs""",2,"""least carbs""",3,"""i try my best""",3,"""i try my best""",1,1,0,1,0
ID-0821-123830AMGMT+05:30-460309288,1,,"[8, 2, 2, 7, 4]",8,2,2,7,4,0:01:06,0:03:17,0:01:52,0:02:40,0:01:32,4,"""Fat""",1,"""Fat""",3,"""low carbs food """,1,"""low carbs food """,4,"""low fat""",1,"""low fat""",2,"""the best healthy""",3,"""the best healthy""",1,"""The low cabs food""",1,"""The low cabs food""",0,1,0,0,0
ID-0813-040151PMGMT-03:00-948836545,2,,"[11, 2, 9, 2, 4, 2]",11,2,9,2,4,0:03:01,0:02:01,0:03:01,0:01:43,0:03:28,1,"""fruits seems better than the other options""",1,"""fruits seems better than the other options""",1,"""vegetables are always good""",1,"""vegetables are always good""",1,"""it seems to have less food here and the food seems healthier""",1,"""it seems to have less food here and the food seems healthier""",3,"""the food here seems healthier than on the others""",1,"""the food here seems healthier than on the others""",1,"""things here seems to be healthier """,1,"""things here seems to be healthier """,0,1,1,1,1
ID-0813-110616PMGMT+05:30-338555320,2,,"[2, 2, 8, 3, 3]",2,2,8,3,3,0:00:10,0:00:18,0:00:11,0:00:17,0:00:26,1,"""nice""",1,"""nice""",1,"""good nutrition""",1,"""good nutrition""",1,"""good for health""",1,"""good for health""",2,"""I like this """,1,"""I like this """,2,"""good for health""",2,"""good for health""",0,1,1,1,1
ID-0814-011843amGMT+05:30-774901885,2,,"[2, 2, 6, 2, 2]",2,2,6,2,2,0:00:40,0:01:12,0:01:32,0:01:51,0:01:03,3,"""low fat""",1,"""low fat""",1,"""uncooked vegetables are healthy and contains no fat""",1,"""uncooked vegetables are healthy and contains no fat""",1,"""low fat and high protein""",1,"""low fat and high protein""",1,"""Salads are help to lose weight""",1,"""Salads are help to lose weight""",1,"""Raw vegetables contain low fat and high fiber""",1,"""Raw vegetables contain low fat and high fiber""",1,1,1,1,0
ID-0814-041819AMGMT+05:30-380467228,1,,"[2, 3, 2, 1, 1]",2,3,2,1,1,0:01:03,0:01:30,0:00:49,0:00:37,0:00:27,1,"""it's least amount of carbs""",3,"""it's least amount of carbs""",3,"""low carbs""",1,"""low carbs""",4,"""least amount of carbs""",1,"""least amount of carbs""",2,"""least amount of carbs""",2,"""least amount of carbs""",1,"""least amount of carbs""",1,"""least amount of carbs""",0,0,1,0,1
ID-0813-102021PMIST-460234729,4,,"[17, 13, 9, 17, 2]",17,13,9,17,2,0:01:33,0:02:04,0:01:48,0:02:10,0:02:21,1,"""Green plant products are probably high in fiber""",1,"""Green plant products are probably high in fiber""",1,"""Berries apparently have a lot of fiber""",1,"""Berries apparently have a lot of fiber""",1,"""Green plant products are high in fiber. I know about pear particularly. """,1,"""Green plant products are high in fiber. I know about pear particularly. """,2,"""I heard broccoli is quite high in fiber. """,1,"""I heard broccoli is quite high in fiber. """,1,"""I heard green plant foods are high in fiber. Rice and beans also probably are high. """,1,"""I heard green plant foods are high in fiber. Rice and beans also probably are high. """,1,0,1,1,1
ID-0815-123523AMIST-144841739,3,,"[3, 2, 2, 3, 1]",3,2,2,3,1,0:00:22,0:00:44,0:00:31,0:00:32,0:00:53,3,"""vegan is good""",3,"""vegan is good""",4,"""it has good carbohydrates""",3,"""it has good carbohydrates""",1,"""good vitamins for your body""",1,"""good vitamins for your body""",4,"""for burning the fat""",4,"""for burning the fat""",1,"""good for raising your carbs """,1,"""good for raising your carbs """,0,1,1,1,1
ID-0813-105235PMGMT+05:30-269480765,3,,"[6, 2, 1, 2, 1]",6,2,1,2,1,0:03:43,0:00:49,0:00:41,0:00:23,0:00:30,1,"""Just my opinion""",1,"""Just my opinion""",3,"""I like this very much""",3,"""I like this very much""",4,"""Just my opinion""",4,"""Just my opinion""",2,"""Just my Guess""",2,"""Just my Guess""",2,"""just my opinion""",2,"""just my opinion""",1,1,1,1,1
ID-0814-071328AMIST-487666591,1,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:00:29,0:00:40,0:00:15,0:00:14,0:00:31,1,"""its lot of fibre""",1,"""its lot of fibre""",4,"""its my decision """,1,"""its my decision """,4,"""its my decision """,1,"""its my decision """,3,"""its my decision """,2,"""its my decision """,4,"""its my decision """,1,"""its my decision """,1,0,0,0,0
ID-0813-110809pmGMT+05:30-924446122,1,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:00:29,0:01:03,0:00:50,0:01:06,0:00:35,2,"""I think so""",2,"""I think so""",1,"""I think so""",1,"""I think so""",2,"""this contains more vegetables """,2,"""this contains more vegetables """,2,"""This is sugar free""",2,"""This is sugar free""",1,"""the monster has diabetes so this food can control diabetes""",1,"""the monster has diabetes so this food can control diabetes""",1,1,1,1,1
ID-0813-103623PMGMT+05:30-673506994,1,,"[6, 5, 8, 7, 2]",6,5,8,7,2,0:00:55,0:01:35,0:02:06,0:01:05,0:01:20,4,"""plain yogurt""",2,"""plain yogurt""",1,"""broccoli""",1,"""broccoli""",2,"""veggies""",2,"""veggies""",2,"""Veggies""",2,"""Veggies""",1,"""Because this recipe contain salmon""",1,"""Because this recipe contain salmon""",1,1,0,1,1
ID-0814-062940AMGMT+05:30-640390765,3,,"[6, 2, 2, 2, 2]",6,2,2,2,2,0:00:30,0:01:06,0:00:44,0:01:12,0:00:30,2,"""low carbohydrates""",4,"""low carbohydrates""",2,"""protein""",1,"""protein""",1,"""no fat""",2,"""no fat""",3,"""protein""",1,"""protein""",3,"""low fat""",4,"""low fat""",0,0,0,0,0
ID-0814-062350AMIST-536306060,1,,"[1, 2, 2, 3, 2]",1,2,2,3,2,0:00:09,0:00:34,0:00:24,0:00:26,0:00:17,3,"""good health""",3,"""good health""",1,"""good """,1,"""good """,1,"""good""",1,"""good""",2,"""good""",2,"""good""",1,"""good""",1,"""good""",1,1,1,1,1
ID-0814-013456AMGMT+05:30-768567456,4,,"[7, 2, 1, 2, 3]",7,2,1,2,3,0:00:33,0:00:41,0:00:40,0:00:49,0:00:43,2,"""good food and tasty""",1,"""good food and tasty""",2,"""this sauce and high content""",1,"""this sauce and high content""",3,"""good cream and fruits""",1,"""good cream and fruits""",4,"""pizza is very favourite food and fast""",2,"""pizza is very favourite food and fast""",2,"""good carbohydrates and vitamins""",1,"""good carbohydrates and vitamins""",0,0,0,0,0
